ReferenceID,Historic_Name,Duplicate?,Other_Name_s_,Other ID,Code Count,MATCH,NHRP GIS,NHRP 07_2024,NHL DB 07_2024,Primary Form,Form Year,Form Preparer,period metadata scrape,date metadata scrape,period text scrape,date text scrape,Periods_of_Significance,IGL Eras DRAFT,"Significant Years - Form, Date Ranges","Significant Years - Form, Specific",Significant Years - Metadata,bc,non standard period,Web PDF,OneDrive PDF,OneDrive PDF,Asset Link,Multiple_Name,Notes,NHRP_Listing_Date,NHL_Date,NHL_Year,Federal_Agency,National_Park,City,County,State,NHL Office,Address,Restricted,Significant_Person,Architect,Request_Type,Status,Secondary_Code,Areas_of_Significance_Metadata,Areas_of_Signifance_Nomination_Forms,Acknowledged,Multiculturalism,Erasure,Valorization,Colonization,Nation_Building,Settler_Colonization,Slavery,State_Formation,Racial_Capitalism,LAT,LON
66000500,Acoma,,Acoma Pueblo;Sky City;See Also:San Estevan del Ray Mission C,,3,,66000500,66000500,66000500,NRHP Nomination,1974,Francine Weiss,1499-1000 AD;1900-1750 AD;1749-1500 AD,1100,,,1499-1000;1900-1750;1749-1500,,1100-present,,1100,x,,https://npgallery.nps.gov/NRHP/GetAsset/4782f34a-67b0-4703-ad8f-d1efc039cd76,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000500_Acoma.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000500_Acoma.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=4782f34a-67b0-4703-ad8f-d1efc039cd76,,,10/15/1966,10/9/1960,1960,,,Casa Blanca,Valencia,NM,Southwest,13 mi. S of Casa Blanca on NM 23,0,,,Single,Listed,NATIONAL HISTORIC LANDMARK; NATIONAL HISTORIC LANDMARK BOUNDARY APPROVED,PREHISTORIC;HISTORIC - ABORIGINAL;EXPLORATION/SETTLEMENT;ARCHITECTURE;RELIGION,MILITARY,0,1,0,0,1,0,1,0,0,0,34.8954944,-107.59339
87000841,Adak Army Base and Adak Naval Operating Station,,Adak Naval Station (Naval Air Station Adak),,5,,87000841,87000841,87000841,NRHP Nomination,1982,Erwin N. Thompson,1925-1949,1942;1945,,,1925-1949,,1942-1945,,1942;1945,,,https://npgallery.nps.gov/NRHP/GetAsset/9bc0e547-e2bc-4bf8-ba35-766931a79535,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/87000841_Adak Army Base and Adak Naval Operating Station.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/87000841_Adak Army Base and Adak Naval Operating Station.pdf,https://npgallery.nps.gov/NRHP/AssetDetail/9bc0e547-e2bc-4bf8-ba35-766931a79535,,,2/27/1987,2/27/1987,1987,DEPARTMENT OF THE NAVY,,Adak Station,Aleutian Islands,AK,Alaska,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",0,,Unknown,Single,Listed,NATIONAL HISTORIC LANDMARK,MILITARY,ARCHITECTURE,0,0,0,1,1,1,1,0,1,0,51.90097848,-176.6286874
74000379,Adams Academy,,,,2,,74000379,74000379,74000379,NHL Nomination,1986,Dr. Margaret Henderson Floyd,1850-1874,1869,,,1850-1874,,1869-1871,1869,1869,,,https://npgallery.nps.gov/NRHP/GetAsset/9c938b78-1ac3-4692-abbf-3d8e9d7ea6c6,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/74000379_Adams Academy.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/74000379_Adams Academy.pdf,https://npgallery.nps.gov/NRHP/AssetDetail/9c938b78-1ac3-4692-abbf-3d8e9d7ea6c6,,,9/6/1974,4/19/1994,1994,,,Quincy,Norfolk,MA,New England,8 Adams St.,0,,Ware &amp; Van Brunt,Single,Listed,NATIONAL HISTORIC LANDMARK,ARCHITECTURE,INDUSTRY; ENGINEERING; SCIENCE; ARCHITECTURE,0,0,1,0,0,0,1,0,0,0,42.2537997,-71.005875
75001212,Adams Power Plant Transformer House,,,,4,,75001212,75001212,75001212,NRHP Nomination,1974,Ralph J. Christian,1950-1974;1900-1924;1875-1899;1925-1949,1895;1961,,,1950-1974;1900-1924;1875-1899;1925-1949,,1895-1961,,1895;1961,,,https://npgallery.nps.gov/NRHP/GetAsset/bccab15f-4fe0-4909-82a6-ca499a8883c2,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/75001212_Adams Power Plant Transformer House.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/75001212_Adams Power Plant Transformer House.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=bccab15f-4fe0-4909-82a6-ca499a8883c2,,,6/11/1975,5/4/1983,1983,,,Niagara Falls,Niagara,NY,Midatlantic,Buffalo Ave. near Portage Rd.,0,,"McKim,Mead &amp; White; Cataract Construction Co.",Single,Listed,NATIONAL HISTORIC LANDMARK,INDUSTRY;ENGINEERING;LITERATURE;ARCHITECTURE,POLITICS/GOVERNMENT,0,0,1,0,0,1,1,0,0,1,43.0818329,-79.042604
66000128,"Adams, John Quincy, Birthplace",,,,3,,66000128,66000128,66000128,NRHP Nomination,1974,M. Rettig,1700-1749;1800-1824;1750-1799,1716;1761;1807,,,1700-1749;1800-1824;1750-1799,,1761-1783;1803-1807,1716,1716;1761;1807,,,https://npgallery.nps.gov/NRHP/GetAsset/da1b5541-a23d-4f6e-9733-fdc8a3cf238f,"https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000128_Adams, John Quincy, Birthplace.pdf","https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000128_Adams, John Quincy, Birthplace.pdf",https://npgallery.nps.gov/NRHP/AssetDetail/da1b5541-a23d-4f6e-9733-fdc8a3cf238f,,,10/15/1966,12/19/1960,1960,NATIONAL PARK SERVICE,Adams,Quincy,Norfolk,MA,New England,141 Franklin St.,0,"Adams,John Quincy",Unknown,Single,Listed,DESIGNATED UNIT OF THE NATIONAL PARK SERVICE; NATIONAL HISTORIC LANDMARK,POLITICS/GOVERNMENT,POLITICS/GOVERNMENT,0,0,1,0,0,0,1,0,1,0,42.2392481,-71.003716
66000129,"Adams, John, Birthplace",,,,3,,66000129,66000129,66000129,NRHP Nomination,1974,Polly M. Rettig,1650-1699;1700-1749,1681;1735,,,1650-1699;1700-1749,,,1681;1735,1681;1735,,,https://npgallery.nps.gov/NRHP/GetAsset/f9aea6bc-8df9-41ee-80d9-4b92b43d660e,"https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000129_Adams, John, Birthplace.pdf","https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000129_Adams, John, Birthplace.pdf",https://npgallery.nps.gov/NRHP/AssetDetail/f9aea6bc-8df9-41ee-80d9-4b92b43d660e,,,10/15/1966,12/19/1960,1960,NATIONAL PARK SERVICE,Adams,Quincy,Norfolk,MA,New England,133 Franklin St.,0,"Adams,John",Unknown,Single,Listed,DESIGNATED UNIT OF THE NATIONAL PARK SERVICE; NATIONAL HISTORIC LANDMARK,POLITICS/GOVERNMENT,ARCHITECTURE,0,0,1,0,0,0,1,0,1,0,42.2394302,-71.003601
70000515,Adena (Thomas Worthington House),,Mount Prospect Hall,,2,,70000515,70000515,70000515,NHL Nomination,1986,Stuart D. Hobbs,1800-1824,1806;1807,,,1800-1824,,1806-1820,1806;1807,1806;1807,,,https://npgallery.nps.gov/NRHP/GetAsset/18fb3597-5ccb-4b8d-893d-0834860a1abb,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/70000515_Adena (Thomas Worthington House).pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/70000515_Adena (Thomas Worthington House).pdf,https://npgallery.nps.gov/NRHP/AssetDetail/18fb3597-5ccb-4b8d-893d-0834860a1abb,,,11/10/1970,2/27/2003,2003,,,Chillicothe,Ross,OH,Great Lakes,Box 831 Adena Rd.,0,"Worthington,Thomas","Latrobe,Benjamin H.",Single,Listed,NATIONAL HISTORIC LANDMARK,LANDSCAPE ARCHITECTURE;POLITICS/GOVERNMENT;ARCHITECTURE,CONSERVATION,0,0,1,0,0,0,1,0,0,0,39.3551947,-83.013618
66000891,Adirondack Forest Preserve,,,,2,,,66000891,66000891,NRHP Nomination,1974,Richard Greenwood,1875-1899,1885,,,1875-1899,,,1885,1885,,,https://npgallery.nps.gov/NRHP/GetAsset/d3a7e473-2c7b-42ea-a3ea-35165f9279d6,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000891_Adirondack Forest Preserve.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000891_Adirondack Forest Preserve.pdf,https://npgallery.nps.gov/NRHP/AssetDetail?assetID=d3a7e473-2c7b-42ea-a3ea-35165f9279d6,,,10/15/1966,5/23/1963,1963,,,Adirondack State Forest Preserve,Clinton,NY,Midatlantic,NE New York State,0,,,Single,Listed,NATIONAL HISTORIC LANDMARK,Conservation,ENTERTAINMENT/RECREATION,0,0,1,0,0,0,1,0,0,0,43.97921198,-74.30928482
87000819,Adler Planetarium,,Adler Planetarium and Astronomical Museum,,2,,87000819,87000819,87000819,NRHP Nomination,1982,James H. Charleton,1925-1949,1929;1930,,,1925-1949,,,1929;1930,1929;1930,,,https://npgallery.nps.gov/NRHP/GetAsset/024f5dd7-04d9-4b04-b051-7145c979f7c3,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/87000819_Adler Planetarium.pdf,https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/87000819_Adler Planetarium.pdf,https://npgallery.nps.gov/NRHP/AssetDetail/024f5dd7-04d9-4b04-b051-7145c979f7c3,,,2/27/1987,2/27/1987,1987,,,Chicago,Cook,IL,Great Lakes,1300 S. Lake Shore Dr.,0,,"Grunsfeld,Ernest,Jr.",Single,Listed,NATIONAL HISTORIC LANDMARK,ENTERTAINMENT/RECREATION,ARCHITECTURE; EDUCATION; SCIENCE; SOCIAL HISTORY,0,0,1,0,0,0,1,0,0,0,41.8661855,-87.606726
66000959,"Administration Building, Carnegie Institute of Washington",,,,4,,66000959,66000959,66000959,NRHP Nomination,1974,Blanche Higgins Schroer,1900-1924,1910,,,1900-1924,,,1910;1937;1938,1910,,,https://npgallery.nps.gov/NRHP/GetAsset/05873c28-2f34-4b59-bad5-fc21eb6dfa82,"https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000959_Administration Building, Carnegie Institute of Washington.pdf","https://uoregon-my.sharepoint.com/:b:/r/personal/infographics_uoregon_edu/Documents/National%20Historic%20Landmarks%20-%20Pulido/Nomination%20Form%20PDFs/66000959_Administration Building, Carnegie Institute of Washington.pdf",https://npgallery.nps.gov/NRHP/AssetDetail?assetID=05873c28-2f34-4b59-bad5-fc21eb6dfa82,,,10/15/1966,6/23/1965,1965,,,Washington,District of Columbia,DC,Midatlantic,"1530 P St., NW.",0,"Carnegie,Andrew",Carrere &amp; Hastings,Single,Listed,NATIONAL HISTORIC LANDMARK,ARCHITECTURE;SOCIAL HISTORY,MARITIME HISTORY; TRANSPORTATION,0,0,1,0,0,1,1,0,0,1,38.9095937,-77.03518
